"DIVISION_NO","DIVISION_NAME","DEPARTMENT_NO","DEPARTMENT_NAME","SECT_NO","SECT_NAME","PLANT_NO","PLANT_NAME","PLANT_TYPE","PROVINCE_NAME"
"90000143",RMC West,"00014548",West 2,"00014648",Prod.สมุทรสาคร,"31ME",คลังสมุทรสาคร,CPAC,สมุทรสาคร
"90000143",RMC West,"00014548",West 2,"00014615",Prod.เพชรบุรี,"31MF",เพชรบุรี,CPAC,เพชรบุรี
"90000143",RMC West,"00014548",West 2,"00014648",Prod.สมุทรสาคร,"31MG",สมุทรสงคราม,CPAC,สมุทรสงคราม
"90000143",RMC West,"00014548",West 2,"00014648",Prod.สมุทรสาคร,"31MH",โคกขาม,CPAC,สมุทรสาคร
"90000143",RMC West,"00014548",West 2,"00014615",Prod.เพชรบุรี,"31MI",ชะอำ 2 (ปิดชั่วคราว),CPAC,เพชรบุรี
"90000143",RMC West,"00014548",West 2,"00014615",Prod.เพชรบุรี,"31ML",ชะอำ 3,CPAC,เพชรบุรี
"90000143",RMC West,"00014548",West 2,"00014648",Prod.สมุทรสาคร,"31MO",โคกขาม 2,CPAC,สมุทรสาคร
"90000143",RMC West,"00014548",West 2,"00014615",Prod.เพชรบุรี,"31MR",เขาวังราชบุรี,CPAC,ราชบุรี
"90000143",RMC West,"00014548",West 2,"00014615",Prod.เพชรบุรี,"31MV",ปราณบุรี,CPAC,ประจวบคีรีขันธ์
"90000143",RMC West,"00014548",West 2,"00014648",Prod.สมุทรสาคร,"31MW",กาหลง,CPAC,สมุทรสาคร
"90000143",RMC West,"00014548",West 2,"00014648",Prod.สมุทรสาคร,"31MX",บ้านแพ้ว 2,CPAC,สมุทรสาคร
"90000143",RMC West,"00014548",West 2,"00014615",Prod.เพชรบุรี,"31MY",หัวหิน 2,CPAC,ประจวบคีรีขันธ์
"90000143",RMC West,"00014548",West 2,"00014648",Prod.สมุทรสาคร,"31MZ",กระทุ่มแบน,CPAC,สมุทรสาคร
"90000140",RMC Metro,"00014300",Metro 1,"00014388",Prod.บางซื่อ,"31N3",บางซ่อน 4,CPAC,กรุงเทพมหานคร
"90000140",RMC Metro,"00014302",Metro 3,"00014371",Prod.พระราม 2,"31N6",ราษฎร์บูรณะ 4,CPAC,กรุงเทพมหานคร
