row_no,selected,plant_code,plant_name,material_code,material_name,source_category,contract_type,interface_type,effective_date,end_date,main_contract_no,transporter_code,transporter_name,source_code,source_name,source_plant_code,source_plant_name,quantity,distance_km,transport_vehicle,rawmat_price,transport_price,loading_price,crushing_price,gap,rebate,fuel_price_period,fuel_base_price,fuel_step_type,fuel_step,fuel_step_rate,fuel_step_count,fuel_adjust_price,transport_price_after_adjust,crushing_step_type,crushing_step,crushing_step_rate,crushing_adjust_price,crushing_price_after_adjust,due_payment,early_payment_price,total_transportation_price,total_price,market_price
809,,31CL,บางโคล่,S01,ทรายหยาบ-ปกติ,หลัก,สัญญาซื้อขายทรายพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-01,2026-02-14,,1000266,บจ.สหอรพรรณ,V000000651,ยูนิตี้แลนด์เอสเตท,,,0,140.0,,110.0,146.89,0.0,49.1,0,0,30.05,32.55,อัตรามาตรฐาน,0,1.87,-5,-9.35,137.54,อัตราพิเศษ,0.5,0.3,-1.5,47.6,2,2.36,182.78,292.78,0
810,,31CL,บางโคล่,S01,ทรายหยาบ-ปกติ,หลัก,สัญญาซื้อขายทรายพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-15,2026-02-28,,1000266,บจ.สหอรพรรณ,V000000651,ยูนิตี้แลนด์เอสเตท,,,0,140.0,,110.0,146.89,0.0,49.1,0,0,30.05,32.55,อัตรามาตรฐาน,0,1.87,-5,-9.35,137.54,อัตราพิเศษ,0.5,0.3,-1.5,47.6,2,2.36,182.78,292.78,0
811,,31CQ,แพรกษา,C01,SCG Portland Cement Type I,สำรอง,สัญญาซีเมนต์พร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0141,บจ.ปูนซิเมนต์ไทย (แก่งคอย),1411.0,โรงงานแก่งคอย,0,153.2,,1454.0,218.0,0.0,0.0,0,0,29.01,32.01,อัตรามาตรฐาน,0,0.0,-3,0.0,218.0,,0.0,0.0,0.0,0.0,0,,218.0,1672.0,1694
812,,31CQ,แพรกษา,C12,SCG Hybrid Cement,หลัก,สัญญาซีเมนต์พร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),1311.0,โรงงานเขาวง,0,160.0,,1338.39,228.0,0.0,0.0,0,0,29.01,32.01,อัตรามาตรฐาน,0,0.0,-3,0.0,228.0,,0.0,0.0,0.0,0.0,0,,228.0,1566.39,1694
813,,31CQ,แพรกษา,C12,SCG Hybrid Cement,สำรอง,สัญญาซีเมนต์พร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),1322.0,ศูนย์จ่ายพระประแดง,0,20.9,,1562.58,107.0,0.0,0.0,92,0,29.01,30.01,อัตรามาตรฐาน,0,0.0,-1,0.0,107.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,107.0,1669.58,1694
814,,31CQ,แพรกษา,C12,SCG Hybrid Cement,สำรอง,สัญญาซีเมนต์พร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0141,บจ.ปูนซิเมนต์ไทย (แก่งคอย),1411.0,โรงงานแก่งคอย,0,153.2,,1454.0,218.0,0.0,0.0,0,0,29.01,32.01,อัตรามาตรฐาน,0,0.0,-3,0.0,218.0,,0.0,0.0,0.0,0.0,0,,218.0,1672.0,1694
815,,31CQ,แพรกษา,D24,Daratard P848,หลัก,สัญญาน้ำยาพร้อมขนส่ง,N : ไม่ INTERFACE GR,2026-02-01,2026-02-28,,1078204,บจ.จีซีพี แอพพลายด์ เทคโนโลยีส์โฮลดิ้งส์ (ไทยแลนด์),1078204,บจ.จีซีพี แอพพลายด์ เทคโนโลยีส์โฮลดิ้งส์ (ไทยแลนด์),,,0,0.0,,9.45,0.0,0.0,0.0,0,0,30.05,0.0,อัตรามาตรฐาน,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,,0.0,9.45,0
816,,31CQ,แพรกษา,D29,SIKA-D2323,หลัก,สัญญาน้ำยาพร้อมขนส่ง,N : ไม่ INTERFACE GR,2026-02-01,2026-02-28,,1092469,บจ.ซิก้า (ประเทศไทย),1092469,บจ.ซิก้า (ประเทศไทย),,,0,0.0,,7.6,0.0,0.0,0.0,0,0,30.05,0.0,อัตรามาตรฐาน,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,,0.0,7.6,0
817,,31CQ,แพรกษา,F18,MIGHTY 150HB-2,หลัก,สัญญาน้ำยาพร้อมขนส่ง,N : ไม่ INTERFACE GR,2026-02-01,2026-02-28,,1040818,บจ.คาโอ อินดัสเตรียล (ประเทศไทย),1040818,บจ.คาโอ อินดัสเตรียล (ประเทศไทย),,,0,0.0,,17.25,0.0,0.0,0.0,0,0,30.05,0.0,อัตรามาตรฐาน,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,,0.0,17.25,0
818,,31CQ,แพรกษา,F47,MIGHTY 150HB-9,หลัก,สัญญาน้ำยาพร้อมขนส่ง,N : ไม่ INTERFACE GR,2026-02-01,2026-02-28,,1040818,บจ.คาโอ อินดัสเตรียล (ประเทศไทย),1040818,บจ.คาโอ อินดัสเตรียล (ประเทศไทย),,,0,0.0,,15.56,0.0,0.0,0.0,0,0,30.05,0.0,อัตรามาตรฐาน,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,,0.0,15.56,0
819,,31CQ,แพรกษา,MF1,Fly Ash (MAEMOH),สำรอง,สัญญาสารผสมเพิ่มพร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),85239.0,Hub PFA พระประแดง,0,20.9,,700.0,107.0,0.0,0.0,0,0,29.01,32.01,อัตรามาตรฐาน,0,0.0,-3,0.0,107.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,107.0,807.0,0
820,,31CQ,แพรกษา,MF1,Fly Ash (MAEMOH),หลัก,สัญญาสารผสมเพิ่มพร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0191,บจ.ปูนซิเมนต์ไทย (ลำปาง),85237.0,แม่เมาะ,0,662.0,,1030.0,691.0,0.0,0.0,0,0,29.01,29.01,อัตรามาตรฐาน,0,0.0,0,0.0,691.0,,0.0,0.0,0.0,0.0,0,,691.0,1721.0,0
821,,31CQ,แพรกษา,R01,"หิน 3/4""-#4",หลัก,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-15,2026-02-28,,1093586,บจ.สมัยนิยม ขนส่ง,V000000165,โรงโม่หินสินสมุทร,,,0,174.0,,170.0,166.0,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,2.21,-4,-8.84,157.16,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,157.16,327.16,0
822,,31CQ,แพรกษา,R01,"หิน 3/4""-#4",หลัก,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-01,2026-02-14,,1093586,บจ.สมัยนิยม ขนส่ง,V000000165,โรงโม่หินสินสมุทร,,,0,174.0,,170.0,166.0,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,2.21,-4,-8.84,157.16,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,157.16,327.16,0
823,,31CQ,แพรกษา,S01,ทรายหยาบ-ปกติ,หลัก,สัญญาซื้อขายทรายพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-01,2026-02-14,,1132062,บจ.ส.เจริญทรัพย์ แมททีเรียล,V000000652,บ่อทรายบางไทร,,,0,15.0,,204.0,35.0,0.0,0.0,0,0,30.05,30.05,อัตราพิเศษ,0,0.9,0,0.0,35.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,35.0,239.0,0
824,,31CQ,แพรกษา,S01,ทรายหยาบ-ปกติ,หลัก,สัญญาซื้อขายทรายพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-15,2026-02-28,,1132062,บจ.ส.เจริญทรัพย์ แมททีเรียล,V000000652,บ่อทรายบางไทร,,,0,15.0,,204.0,35.0,0.0,0.0,0,0,30.05,30.05,อัตราพิเศษ,0,0.9,0,0.0,35.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,35.0,239.0,0
825,,31CT,รังสิต,C01,SCG Portland Cement Type I,หลัก,สัญญาซีเมนต์พร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0141,บจ.ปูนซิเมนต์ไทย (แก่งคอย),1411.0,โรงงานแก่งคอย,0,96.0,,1540.0,195.0,0.0,0.0,0,0,29.01,32.01,อัตรามาตรฐาน,0,0.0,-3,0.0,195.0,,0.0,0.0,0.0,0.0,0,,195.0,1735.0,1694
826,,31CT,รังสิต,C12,SCG Hybrid Cement,หลัก,สัญญาซีเมนต์พร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),1311.0,โรงงานเขาวง,0,83.0,,1338.39,169.0,0.0,0.0,0,0,29.01,32.01,อัตรามาตรฐาน,0,0.0,-3,0.0,169.0,,0.0,0.0,0.0,0.0,0,,169.0,1507.39,1694
